Comparison	gene	log2FC
IFNg_UP_DOWN	KIF4A	-1.30139192803263
IFNg_UP_DOWN	NAP1L3	-1.15368901106643
IFNg_UP_DOWN	BEX2	-1.66782886841108
IFNg_UP_DOWN	TCEAL7	-1.15007981384714
IFNg_UP_DOWN	AFF2	-1.27540975402804
IFNg_UP_DOWN	RP11-115C21.2	-1.18410044103928
IFNg_UP_DOWN	SGK223	-1.28003951139884
IFNg_UP_DOWN	EGR3	-1.14613943091605
IFNg_UP_DOWN	TNFRSF10D	-2.05282180483256
IFNg_UP_DOWN	NEFL	-1.89062347160312
IFNg_UP_DOWN	PBK	-1.03193343808352
IFNg_UP_DOWN	CHD7	-1.0184269357938
IFNg_UP_DOWN	MMP16	-2.52052751279054
IFNg_UP_DOWN	GEM	-1.15238781400844
IFNg_UP_DOWN	SDC2	-1.16363769330468
IFNg_UP_DOWN	MATN2	-1.45647875287564
IFNg_UP_DOWN	COL14A1	-1.67314619870802
IFNg_UP_DOWN	SHB	-1.10073704289938
IFNg_UP_DOWN	RP11-12A20.7	-1.36797578241299
IFNg_UP_DOWN	PTPDC1	-1.27141197253011
IFNg_UP_DOWN	COL15A1	-1.32665366033381
IFNg_UP_DOWN	H19	-1.01597397257628
IFNg_UP_DOWN	CYP2R1	-1.15685246905488
IFNg_UP_DOWN	RP11-113D6.10	-1.15996828081339
IFNg_UP_DOWN	CHST1	-2.16887007849626
IFNg_UP_DOWN	LRP4	-1.07704539242291
IFNg_UP_DOWN	SYT7	-1.48318116716476
IFNg_UP_DOWN	NECTIN1	-1.27121723312154
IFNg_UP_DOWN	AKR1C2	-1.03097806614548
IFNg_UP_DOWN	AKR1C3	-1.09457647196964
IFNg_UP_DOWN	CDK1	-1.01263292935273
IFNg_UP_DOWN	ZNF365	-1.17823908980886
IFNg_UP_DOWN	DNAJC12	-1.28594178344942
IFNg_UP_DOWN	DDIT4	-1.47478189844239
IFNg_UP_DOWN	PPP1R3C	-1.14975343283838
IFNg_UP_DOWN	HSPA12A	-1.08019335425209
IFNg_UP_DOWN	NANOS1	-2.28158523094612
IFNg_UP_DOWN	MKI67	-1.12591504486578
IFNg_UP_DOWN	LRP6	-1.03686674533164
IFNg_UP_DOWN	TSPAN11	-1.00009228560772
IFNg_UP_DOWN	RACGAP1	-1.17220571048138
IFNg_UP_DOWN	GDF11	-1.18641154668704
IFNg_UP_DOWN	INHBE	-1.68129141719627
IFNg_UP_DOWN	IL26	-2.09121052703278
IFNg_UP_DOWN	GAS2L3	-1.47637274623293
IFNg_UP_DOWN	CIT	-1.69599647289082
IFNg_UP_DOWN	DCLK1	-1.24015595015263
IFNg_UP_DOWN	DLEU1	-1.08479043559817
IFNg_UP_DOWN	RP11-12G12.7	-1.23228709986902
IFNg_UP_DOWN	NALCN	-1.23073905253693
IFNg_UP_DOWN	KDELC1	-1.11335463444024
IFNg_UP_DOWN	LINC00641	-1.21868846918658
IFNg_UP_DOWN	TXNDC16	-1.27963276982513
IFNg_UP_DOWN	CDKN3	-1.45333072003087
IFNg_UP_DOWN	DLGAP5	-1.5523456963058
IFNg_UP_DOWN	RP11-999E24.3	-2.95322057302468
IFNg_UP_DOWN	DPF3	-1.32143125320438
IFNg_UP_DOWN	TGFB3	-1.22328424526169
IFNg_UP_DOWN	PWAR6	-1.51244684475311
IFNg_UP_DOWN	ARHGAP11A	-1.04193821794512
IFNg_UP_DOWN	KNL1	-1.20656953759065
IFNg_UP_DOWN	NUSAP1	-1.21168214687108
IFNg_UP_DOWN	CYP19A1	-1.22494661055949
IFNg_UP_DOWN	CCNB2	-1.05982507738327
IFNg_UP_DOWN	SNRNP25	-1.05314490623372
IFNg_UP_DOWN	METRN	-1.00365511928534
IFNg_UP_DOWN	RP11-20I23.13	-1.12704089020901
IFNg_UP_DOWN	NETO2	-1.33100756567495
IFNg_UP_DOWN	COG8	-1.09489866347726
IFNg_UP_DOWN	GCSH	-1.32504487016158
IFNg_UP_DOWN	ZNF469	-1.48886953572128
IFNg_UP_DOWN	PITPNM3	-1.91433197824378
